Image;SquareIndex;ObjectInSquare;Area_px;Area_mm2;Scale;X;Y
P1012131.JPG;3;1;2077;11.1471;0.07326;779.0214;590.7061
P1012131.JPG;2;1;2313;12.4137;0.07326;730.8731;573.0223
P1012131.JPG;1;1;1822;9.7786;0.07326;531.1575;677.7184
P1012131.JPG;6;1;2609;14.0023;0.07326;642.6169;765.9182
P1012131.JPG;5;1;4760;25.5466;0.07326;573.5645;549.7811
P1012131.JPG;4;1;2586;13.8789;0.07326;620.7138;829.6694
P1012132.JPG;3;1;976;5.2381;0.07326;546.5738;619.4324
P1012132.JPG;2;1;1781;9.5585;0.07326;684.2019;737.436
P1012132.JPG;1;1;2023;10.8573;0.07326;374.7491;875.2958
P1012132.JPG;5;1;2404;12.9021;0.07326;693.9867;510.312
P1012132.JPG;4;1;1031;5.5333;0.07326;486.9724;706.9122
P1012133.JPG;3;1;2379;12.7679;0.07326;555.9216;649.5521
P1012133.JPG;2;1;2645;14.1955;0.07326;707.7919;662.7851
P1012133.JPG;1;1;2589;13.895;0.07326;613.091;737.6414
P1012133.JPG;6;1;2353;12.6284;0.07326;561.0525;940.1579
P1012133.JPG;5;1;1935;10.385;0.07326;950.6804;697.1966
P1012133.JPG;4;1;3352;17.99;0.07326;568.0492;613.3016
P1012134.JPG;3;1;2313;12.4137;0.07326;625.3543;863.3794
P1012134.JPG;2;1;2623;14.0775;0.07326;753.5168;696.0219
P1012134.JPG;1;1;3274;17.5713;0.07326;708.471;764.2877
P1012134.JPG;5;1;4543;24.382;0.07326;587.9083;777.4855
P1012134.JPG;4;1;2474;13.2778;0.07326;506.3909;746.2312
P1012135.JPG;3;1;7419;39.8173;0.07326;983.1432;826.4894
P1012135.JPG;2;1;2874;15.4246;0.07326;403.1663;764.7825
P1012135.JPG;1;1;2829;15.1831;0.07326;738.0444;627.1274
P1012135.JPG;6;1;2703;14.5068;0.07326;652.3531;520.5496
P1012135.JPG;5;1;3292;17.6679;0.07326;620.4553;770.6537
P1012135.JPG;4;1;3751;20.1314;0.07326;624.3896;782.3475
P1012136.JPG;3;1;2457;13.1866;0.07326;511.9656;625.5692
P1012136.JPG;2;1;1766;9.478;0.07326;676.4547;895.7961
P1012136.JPG;1;1;2819;15.1294;0.07326;529.5514;693.2538
P1012136.JPG;6;1;2677;14.3673;0.07326;492.1507;677.2837
P1012136.JPG;5;1;2433;13.0578;0.07326;940.1564;855.2657
P1012136.JPG;4;1;2579;13.8413;0.07326;902.1456;442.9207
P1012137.JPG;3;1;2149;11.5335;0.07326;519.2003;596.6247
P1012137.JPG;2;1;3258;17.4855;0.07326;844.7999;831.7766
P1012137.JPG;1;1;2461;13.208;0.07326;741.8222;608.2221
P1012137.JPG;4;1;2295;12.3171;0.07326;406.2041;584.0516
P1012141.JPG;3;1;7506;40.1071;0.0731;795.1194;877.2234
P1012141.JPG;2;1;5803;31.0074;0.0731;720.7502;701.7547
