Image,SquareIndex,ObjectInSquare,Area_px,Area_mm2,Scale,X,Y
P1012157.JPG,1,1,5158,27.7338,0.07333,789.3389,574.6642
P1012157.JPG,2,1,6242,33.5624,0.07333,507.2906,999.8661
P1012157.JPG,3,1,5740,30.8632,0.07333,572.5408,931.0483
P1012157.JPG,5,1,7496,40.3049,0.07333,1041.3116,534.6897
P1012157.JPG,4,1,6092,32.7558,0.07333,531.7365,904.218
P1012158.JPG,1,1,1790,9.6246,0.07333,859.6587,879.0804
P1012158.JPG,2,1,2210,11.8829,0.07333,623.9281,779.857
P1012158.JPG,3,1,2826,15.195,0.07333,644.0064,810.2311
P1012158.JPG,6,1,4230,22.7441,0.07333,563.6437,695.1941
P1012158.JPG,5,1,3661,19.6847,0.07333,679.438,533.3175
P1012158.JPG,4,1,3131,16.8349,0.07333,576.4633,765.8152
P1012159.JPG,1,1,7158,38.4876,0.07333,652.7316,863.7638
P1012159.JPG,2,1,6493,34.9119,0.07333,644.316,853.2448
P1012159.JPG,3,1,5632,30.2825,0.07333,665.1067,1051.305
P1012159.JPG,6,1,6682,35.9282,0.07333,346.8378,502.6613
P1012159.JPG,5,1,2550,13.711,0.07333,455.2635,669.9529
P1012159.JPG,4,1,6007,32.2988,0.07333,527.7542,614.0339
P1012160.JPG,1,1,6229,33.4925,0.07333,582.6402,657.1765
P1012160.JPG,2,1,2265,12.1786,0.07333,636.9225,833.1945
P1012160.JPG,3,1,2521,13.5551,0.07333,666.4619,561.7574
P1012160.JPG,6,1,2739,14.7272,0.07333,324.0005,520.17
P1012160.JPG,5,1,1893,10.1784,0.07333,700.1741,726.0959
P1012160.JPG,4,1,3520,18.9265,0.07333,333.3886,718.1747
P1012161.JPG,1,1,3718,19.9912,0.07333,820.9459,822.7079
P1012161.JPG,2,1,4740,25.4863,0.07333,530.9095,666.9382
P1012161.JPG,3,1,4351,23.3947,0.07333,574.266,729.8574
P1012161.JPG,6,1,6435,34.6001,0.07333,457.9249,494.3351
P1012161.JPG,5,1,5461,29.363,0.07333,620.6112,831.9082
P1012161.JPG,4,1,4601,24.7389,0.07333,598.9175,750.0866
P1012162.JPG,1,1,2384,12.8184,0.07333,783.1753,860.3104
P1012162.JPG,2,1,4050,21.7763,0.07333,631.7304,566.243
P1012163.JPG,1,1,2894,15.5606,0.07333,528.0791,729.792
P1012163.JPG,2,1,3813,20.502,0.07333,637.0744,809.3901
P1012163.JPG,3,1,1917,10.3074,0.07333,593.5856,787.1077
P1012163.JPG,5,1,4500,24.1959,0.07333,479.6336,723.2433
P1012163.JPG,4,1,2525,13.5766,0.07333,682.7127,798.1392
P1012164.JPG,1,1,6337,34.0732,0.07333,657.3914,694.0596
P1012164.JPG,2,1,7394,39.7565,0.07333,725.3142,533.8127
P1012164.JPG,3,1,6667,35.8475,0.07333,717.1543,415.5672
P1012164.JPG,6,1,5951,31.9977,0.07333,619.4876,740.908
P1012164.JPG,5,1,6571,35.3313,0.07333,715.6569,767.4525
P1012164.JPG,4,1,9028,48.5423,0.07333,630.0286,647.9752
P1012165.JPG,1,1,2252,12.1087,0.07333,668.5706,753.4751
P1012165.JPG,2,1,7181,38.6112,0.07333,840.0892,793.5863
P1012165.JPG,3,1,6673,35.8798,0.07333,607.6695,864.7657
P1012165.JPG,6,1,1637,8.8019,0.07333,642.9013,765.2471
P1012165.JPG,5,1,2171,11.6732,0.07333,758.5442,709.5861
P1012165.JPG,4,1,6306,33.9065,0.07333,612.3682,597.4783
